Code,Level,Parent,Description,Definition,Examples
42903,5,4290,"Marine construction (e.g. harbours, piers, docks, wharves)","This Sub-class includes activities of marine construction such as harbours, piers, docks or wharves.",
42909,5,4290,Construction of other civil engineering projects n.e.c. (e.g. playground systems),This Sub-class includes activities of civil engineering construction projects not elsewhere classified.,"•aeroplane hangar construction
•airport construction
•playground systems construction"
43,2,F,SPECIALISED CONSTRUCTION ACTIVITIES,,
431,3,43,DEMOLITION AND SITE PREPARATION,,
4311,4,431,Demolition,,
43110,5,4311,Wrecking and demolition works,This Sub-class includes wrecking and demolition works for buildings or structures.,
4312,4,431,Site Preparation,,
43121,5,4312,"Soil investigation, treatment and stabilisation (including grouting and guniting)","This Sub-class includes site preparation activities like soil investigation, treatment and stabilisation (including grouting and guniting).",
43122,5,4312,Excavation and earthmoving works,This Sub-class includes excavation and earthmoving works like landfill or levelling.,
43129,5,4312,Site preparation n.e.c.,This Sub-class includes site preparation activities not elsewhere classified.,"•blasting activities
•construction-related landscaping works
•grading of construction sites"
432,3,43,"ELECTRICITY, PLUMBING AND CONSTRUCTION INSTALLATION ACTIVITIES",,
4321,4,432,Electrical Installation,,
43210,5,4321,Electrical works,"This Sub-class includes the installation of electrical systems in all kinds of buildings and civil engineering structures.
Units in this Sub-class are primarily engaged in one or more of the following:
•installation of electrical wiring and fittings
•installation of telecommunications wiring
•installation of computer network and cable television wiring, including fibre optic
•installation of satellite dishes
•installation of lighting systems
•installation of fire alarms
•installation of burglar alarm systems
•installation of street lighting and electrical signals
•installation of airport runway lighting
•installation of connecting of electric appliances and household equipment, including baseboard heating",
4322,4,432,"Plumbing, Heat and Air-Conditioning Installation",,
43220,5,4322,"Installation of plumbing, heating (non-electric) and air-conditioning systems","This Sub-class includes the installation of plumbing, heating and air-conditioning systems, including additions, alterations, maintenance and repair.
Units in this Sub-class are primarily engaged in one or more of the following:
•installation of heating systems (electric, gas and oil)
•installation of non-electric solar energy collectors
•installation of plumbing, sanitary or sewerage equipment
•installation of ventilation, refrigeration or air-conditioning equipment or ducts
•installation of gas fittings
•installation of steam piping
•installation of fire sprinkler systems
•installation of lawn sprinkler systems
•installation of duct work installation",
4329,4,432,Other Construction Installation,,
43291,5,4329,"Installation and erection of building equipment (e.g. lifts, escalators, travellators)","This Sub-class includes the installation and erection of lifts, escalators, travellators or conveyor systems.",
43292,5,4329,Installation of fire protection and security alarm systems,"This Sub-class includes the installation of fire protection or security alarm systems (e.g. burglar alarms, fire alarms) without later monitoring.",
43293,5,4329,Installation of building automated systems for remote monitoring,This Sub-class includes the installation of automated systems (building) for remote monitoring.,
43294,5,4329,Installation of awning and window shades,This Sub-class includes the installation of awning and window shades.,
43295,5,4329,Installation of thermal and sound insulation (including solar control films),This Sub-class includes the installation of thermal or sound insulation (e.g. solar control films).,
43296,5,4329,Signcraft installation,This Sub-class includes the installation of signcraft.,
43299,5,4329,Other construction installation n.e.c.,This Sub-class includes other construction installation not elsewhere classified.,"•solar panels installation
•automated and revolving doors installation
•vacuum cleaning systems installation
•lightning conductors installation"
433,3,43,BUILDING COMPLETION AND FINISHING,,
4330,4,433,Building Completion and Finishing,,
43301,5,4330,Renovation contractors,This Sub-class includes activities of renovation contractors.,
43302,5,4330,Tile setting and plastering,This Sub-class includes activities of tile setting and plastering activities.,
43303,5,4330,Joinery and other woodworks (e.g. laminated or parquet flooring),This Sub-class includes activities of joinery and other woodworks like laminated or parquet flooring.,
43304,5,4330,Painting and decorating,"This Sub-class includes:
•activities of painting or decorating
•hanging of wallpaper, tapestry or other kinds of flexible wall covering in buildings or other construction projects",
43305,5,4330,Glass and glazing works (including mirror and shower screen installation),This Sub-class includes activities of glass and glazing works (e.g. mirror or shower screen installation).,
43306,5,4330,Curtain walling/cladding works,This Sub-class includes activities of curtain walling or cladding works.,
43307,5,4330,"Installation of doors, gates, grilles and windows","This Sub-class includes the installation of doors, gates, grilles or windows.",
43309,5,4330,Building completion and finishing n.e.c.,This Sub-class includes activities of building completion or finishing that are not elsewhere classified.,"•carpet layering
•installation of linoleum floor coverings, including of rubber or plastic
•interior completion such as ceilings, wooden wall coverings, movable partitions, etc."
439,3,43,OTHER SPECIALISED CONSTRUCTION ACTIVITIES,,
4390,4,439,Other Specialised Construction Activities,,
43901,5,4390,"Foundation works (including micropiling, conventional piling and underpinning)","This Sub-class includes foundation works like micro-piling, conventional piling and underpinning.",
43902,5,4390,"Brick laying, stone setting and cement works","This Sub-class includes brick-laying, stone setting or cement works.",
43903,5,4390,Roofing works (including timber carcassing),This Sub-class includes roofing works like timber carcassing.,
43904,5,4390,Production of pre-cast components,"This Sub-class includes 
•production of precast concrete, wood or steel components such as:
- beams, columns, planks, hollowcore slab, rafters or roof struts
- load bearing walls, household shelters, prefabricated bathroom units, facades
- bay windows, staircases, non-load bearing walls/panels, planter boxes
- refuse chutes, tunnel segments, drains and kerbs
- glue-laminated or metal connected prefabricated roof trusses
- parquet floor blocks, strips, etc., assembled into panels
- railings, doors, windows, shutters or their frames
•production of pre-fabricated buildings, or elements thereof, predominantly of metal, wood or concrete (e.g. site huts, modular exhibition elements)
•production of mobile homes

Installation and erection may/may not be carried out by establishment itself",
43905,5,4390,Scaffolding works,This Sub-class includes scaffolds and work platforms erecting and dismantling.,
43906,5,4390,Sandblasting/Shotblasting works (except ships),This Sub-class includes sandblasting/shotblasting works (except ships).,
43907,5,4390,Production of Prefabricated Prefinished Volumetric Construction (PPVC) modules,This Sub-class includes production of Prefabricated Prefinished Volumetric Construction (PPVC) modules.,
43909,5,4390,Other specialised construction and related activities n.e.c. (excluding online marketplaces),This Sub-class includes specialised construction activities that are not elsewhere classified.,"•barbending and formworks (construction)
•concreting works, including barbending and formworks
•renting of crane and other construction equipment with operator for construction industry only"
G,1,,WHOLESALE AND RETAIL TRADE,,
46,2,G,WHOLESALE TRADE,,
461,3,46,WHOLESALE ON A FEE OR COMMISSION BASIS,,
4610,4,461,Wholesale on a Fee or Commission Basis,,
46100,5,4610,Wholesale on a fee or commission basis (excluding online marketplaces),"This Sub-class includes activities of commission agents and all other wholesalers who trade goods on behalf or on account of others. Such agents and wholesalers do not take title to the goods they sell, but act as agents for a principal and receive a commission or fee for their service.

Units in this Sub-class are primarily engaged in one or more of the following:
•activities of those involved in bringing sellers and buyers together or undertaking commercial transactions on behalf of a principal, excluding via the Internet
•activities of wholesale auctioneering houses",
462,3,46,WHOLESALE OF AGRICULTURAL RAW MATERIALS AND LIVE ANIMALS,,
4621,4,462,Wholesale of Agricultural Raw Materials and Live Animals except Tropical Produce,,
46211,5,4621,Wholesale of cut flowers and plants,"This Sub-class includes:
• wholesale of fresh or preserved flowers
• wholesale of plants.",
46212,5,4621,Wholesale of aquarium fishes (including food and accessories),"This Sub-class includes wholesale of aquarium fishes, fish food or accessories.",
46213,5,4621,Wholesale of pet birds and animals (including food and accessories),"This Sub-class includes wholesale of pet birds, pet animals, pet food or pet accessories.",
46219,5,4621,Wholesale of agricultural raw materials and live animals n.e.c. (excluding tropical produce),This Sub-class includes wholesale of agricultural raw materials not elsewhere classified.,"•animal feed (except pet feed) wholesaling
•grains and seeds (e.g. corn, wheat, oats, barley, unpolished rice, soybeans) wholesaling
•pulses (e.g. dry beans, chickpeas, broad beans) wholesaling"
4622,4,462,Wholesale of Tropical Produce,,
46221,5,4622,Wholesale of rubber (including rubber brokers),"This Sub-class includes:
•wholesale of natural rubber
•activities of rubber brokers",
46222,5,4622,Wholesale of pepper and other spices,This Sub-class includes wholesale of pepper or other spices.,
46223,5,4622,"Wholesale of coffee, cocoa and tea","This Sub-class includes wholesale of coffee, cocoa or tea.",
46224,5,4622,Wholesale of coconut,This Sub-class includes wholesale of coconut and coconut kernel.,
46225,5,4622,Wholesale of palm oil,This Sub-class includes wholesale of palm oil.,
46229,5,4622,Wholesale of tropical produce n.e.c.,This Sub-class includes wholesale of tropical produce not elsewhere classified.,•rattan wholesaling
463,3,46,"WHOLESALE OF FOOD, BEVERAGES AND TOBACCO",,
4630,4,463,"Wholesale of Food, Beverages and Tobacco",,
46301,5,4630,Wholesale of fruits and vegetables (including fresh and frozen),This Sub-class includes wholesale of fresh and frozen fruits and vegetables.,
46302,5,4630,"Wholesale of livestock, meat, poultry, eggs and seafood (including fresh and frozen)","This Sub-class includes wholesale of fresh and frozen livestock, meat, meat products, poultry, eggs or seafood.",
46303,5,4630,"Wholesale of a general line (wide range) of groceries (e.g. cereals, sugar, edible oils, sauces and dairy products)","This Sub-class includes wholesale of a general line (wide range) of groceries.

Units in this Sub-class are primarily engaged in one or more of the following:
•wholesale of cereals
•wholesale of sugar
•wholesale of edible oils and fats of animal or vegetable origin
•wholesale of sauces
•wholesale of dairy products (e.g. milk, yoghurt, cheese)
•wholesale of rice
•wholesale of noodles",
46304,5,4630,Wholesale of confectionery and bakery products,This Sub-class includes wholesale of confectionery or bakery products.,
46305,5,4630,Wholesale of ice-cream,This Sub-class includes wholesale of ice-cream.,
46306,5,4630,Wholesale of health supplements,This Sub-class includes wholesale of health supplements.,
46307,5,4630,"Wholesale of liquor, soft drinks and beverages","This Sub-class includes wholesale of liquor, soft drinks or beverages (including instant beverages).",
46308,5,4630,Wholesale of tobacco products,"This Sub-class includes wholesale of processed tobacco products (e.g. cigarettes, cigars).",
46309,5,4630,"Wholesale of food, beverages and tobacco n.e.c. (including dried or canned)","This Sub-class includes wholesale of food, beverages or tobacco not elsewhere classified.","•bird's nest, wholesaling
•canned food wholesaling
•frozen pre-cooked food wholesaling"
464,3,46,WHOLESALE OF HOUSEHOLD GOODS,,
4641,4,464,"Wholesale of Textiles, Clothing, Footwear and Leather Goods",,
46411,5,4641,Wholesale of textiles and leathers,This Sub-class includes wholesale of textiles and leather goods.,
46412,5,4641,Wholesale of adults' clothing,"This Sub-class includes wholesale of adults' clothing (e.g. dresses, lingerie, socks).",
46413,5,4641,Wholesale of children and infants’ clothing (including products and accessories for infants),"This Sub-class includes wholesale of childrens' and infants’ clothing, products and accessories.",
46414,5,4641,Wholesale of footwear,This Sub-class includes wholesale of footwear.,
46415,5,4641,"Wholesale of bags, luggage and travel accessories","This Sub-class includes wholesale of bags, luggage and travel accessories.",
46416,5,4641,"Wholesale of sewing and clothing accessories (e.g. button, thread, lace, zip, belt, tie)","This Sub-class includes wholesale of sewing and clothing accessories (e.g. buttons, needles, thread, laces, zips, belts, ties, hats, caps).",
4642,4,464,Wholesale of Personal Effects,,
46421,5,4642,Wholesale of jewellery made from precious metals and stones,This Sub-class includes wholesale of jewellery made from precious metals or stones.,
46422,5,4642,Wholesale of costume jewellery,This Sub-class includes wholesale of costume jewellery.,
46423,5,4642,Wholesale of watches and clocks,This Sub-class includes wholesale of watches or clocks.,
46424,5,4642,Wholesale of cosmetics and toiletries,"This Sub-class includes wholesale of cosmetics, skin care products, perfumes, aromatherapy products or toiletries (e.g. soap, shampoo).",
46429,5,4642,Wholesale of personal effects n.e.c.,This Sub-class includes wholesale of personal effects not elsewhere classified.,"•adult hair accessories wholesaling
•umbrella wholesaling"
4643,4,464,"Wholesale of Furniture, Home Furnishings and Other Household Equipment",,
46431,5,4643,"Wholesale of furniture (including mattresses, cushions)","This Sub-class includes wholesale of household or office furniture (e.g. mattresses, cushions).",
46432,5,4643,"Wholesale of furnishings (including curtains, carpets, wallpaper)","This Sub-class includes wholesale of home furnishings (e.g. curtains, carpets, wallpaper, solar film, window blinds).",
46433,5,4643,Wholesale of lighting and lighting accessories,"This Sub-class includes wholesale of lighting or lighting accessories (e.g. light bulb, lamp holder, lamp shade).",
46434,5,4643,"Wholesale of crockery, cutlery and kitchen utensils","This Sub-class includes wholesale of crockery, cutlery, kitchen utensils or cookware.",
46435,5,4643,Wholesale of household electrical appliances and equipment (including household air-conditioners),"This Sub-class includes wholesale of household electrical appliances or equipment.

Units in this Sub-class are primarily engaged in one or more of the following:
•wholesale of household air-conditioners
•wholesale of household refrigerators or freezers
•wholesale of washing machines
•wholesale of vacuum cleaners",
46436,5,4643,"Wholesale of audio and video equipment except electrical and electronic components (e.g. radio and television sets, sound reproducing and recording equipment)","This Sub-class includes wholesale of audio and video equipment except electrical and electronic components (e.g. radio, television (TV), stereo equipment, DVD/Blu-ray players and recorders).",
46437,5,4643,Wholesale of musical instruments and scores,This Sub-class includes wholesale of musical instruments and scores.,
46439,5,4643,"Wholesale of furniture, home furnishings and other household equipment n.e.c.","This Sub-class includes wholesale of furniture, home furnishings and other household equipment not elsewhere classified.","•baby carriage wholesaling
•frame, mirror and picture, wholesaling
•non-electrical household appliance, wholesaling"
4644,4,464,Wholesale of Sporting and Other Recreational Goods,,
46441,5,4644,Wholesale of sporting goods and equipment (including bicycles and healthcare equipment),"This Sub-class includes:
•wholesale of sports apparel or equipment (e.g. bicycles)
•healthcare equipment (e.g. massage chair, personal mobility aid, wheelchairs, exercise equipment)",
46442,5,4644,"Wholesale of music and video recordings (e.g. DVDs, Blu-ray discs)","This Sub-class includes wholesale of music or video recordings (e.g. DVDs, Blu-ray discs, digital music, digital videos).",
46443,5,4644,Wholesale of toys and games,This Sub-class includes wholesale of toys or games.,
46444,5,4644,Wholesale of computer games (including electronic games and video game consoles),"This Sub-class includes wholesale of computer games, electronic games or video game consoles.",
46449,5,4644,Wholesale of sporting and other recreational goods n.e.c.,This Sub-class includes wholesale of sporting or other recreational goods not elsewhere classified.,
4645,4,464,Wholesale of Handicrafts and Fancy Goods,,
46451,5,4645,Wholesale of antiques and works of art,This Sub-class includes wholesale of antiques or works of art.,
46452,5,4645,Wholesale of handicrafts and gifts,"This Sub-class includes wholesale of handicrafts, collectibles, souvenirs or gifts.",
46453,5,4645,Wholesale of artificial flowers and plants,This Sub-class includes wholesale of artificial flowers or plants.,
46459,5,4645,Wholesale of handicrafts and fancy goods n.e.c.,This Sub-class includes wholesale of handicrafts or fancy goods not elsewhere classified.,"•crystal, wholesaling"
4646,4,464,Wholesale of Medicinal and Pharmaceutical Products,,
46461,5,4646,Wholesale of medicinal and pharmaceutical products (Western),This Sub-class includes wholesale of Western medicinal and pharmaceutical products (i.e. medication obtained from doctors/dentists/pharmacists or medical/surgical disposables).,
46462,5,4646,Wholesale of medicine and herbs (other than Western),This Sub-class includes wholesale of non-Western medicine and herbs (e.g. Chinese/Malay/Indian and homeopathic medicinal products).,
4647,4,464,"Wholesale of Paper, Paper-Related Products, Stationery, Cellophane Products and Packaging Materials",,
46471,5,4647,Wholesale of paper and paper products,"This Sub-class includes wholesale of paper or paper products (e.g. wrapping paper, paper rolls).",
46472,5,4647,Wholesale of packaging materials,"This Sub-class includes wholesale of packaging materials and supplies (e.g. paper bags, cardboard carton boxes, cellophane tapes, stretch wrapping films, food packaging containers).",
46473,5,4647,Wholesale of stationery,This Sub-class includes wholesale of stationery.,
46474,5,4647,Wholesale of books and magazines,"This Sub-class includes wholesale of digital or non-digital books, magazines or newspapers.",
46479,5,4647,"Wholesale of paper, paper and cellophane products and stationery n.e.c.","This Sub-class includes wholesale of paper, paper or cellophane products and stationery not elsewhere classified.",
4649,4,464,Wholesale of Other Household Goods,,
46491,5,4649,Wholesale of optical equipment and supplies (excluding binoculars),This Sub-class includes wholesale of optical equipment or supplies excluding binoculars.,
46492,5,4649,Wholesale of photographic equipment and supplies (including binoculars),"This Sub-class includes wholesale of binoculars, photographic equipment or supplies.",
46499,5,4649,Wholesale of other household goods n.e.c.,"This Sub-class includes wholesale of other household goods not elsewhere classified (e.g. joss paper, joss stick).","•ceremonial product wholesaling
•disposable plate wholesaling
•joss paper wholesaling"
465,3,46,"WHOLESALE OF MACHINERY, EQUIPMENT AND SUPPLIES",,
4651,4,465,"Wholesale of Computers, Computer Peripheral Equipment and Software",,
46511,5,4651,Wholesale of computer hardware and peripheral equipment (except cybersecurity related hardware and peripheral equipment),"This Sub-class includes wholesale of computer hardware and peripheral equipment (e.g. monitor, keyboard, motherboard). Also included are wholesale of physical wallets for storage of cryptocurrency keys.",
46512,5,4651,Wholesale of computer software (except games and cybersecurity software),This Sub-class includes wholesale of computer software.,
46513,5,4651,"Wholesale of computer accessories (e.g. memory cards, computer cables)","This Sub-class includes wholesale of computer accessories (e.g. memory cards, computer cables).",
46514,5,4651,"Wholesale of cybersecurity software, hardware and peripheral equipment","This Sub-class includes wholesale of cybersecurity software, hardware and peripheral equipment.",
4652,4,465,Wholesale of Electronic and Telecommunications Equipment and Parts,,
46521,5,4652,Wholesale of telecommunications equipment (excluding handphones),"This Sub-class includes wholesale of telecommunications equipment (e.g. routers, transmission lines, base transceiver station, radar and broadcasting equipment).",
46522,5,4652,Wholesale of electronic components,"This Sub-class includes wholesale of electronic components (e.g. capacitors, electronic valves and tubes, semiconductor devices, microchips and integrated circuits, printed circuits).",
46523,5,4652,"Wholesale of handphones, handphone peripheral equipment and other telecommunications equipment","This Sub-class includes:
•wholesale of handphones and peripheral equipment
•wholesale of other telecommunications devices (e.g. smart watches, wearable computer, e-book devices, tablets, teleconferencing equipment)",
4653,4,465,"Wholesale of Agricultural Machinery, Equipment and Supplies",,
46530,5,4653,"Wholesale of agricultural machinery, equipment and supplies","This Sub-class includes wholesale of agricultural machinery, equipment and supplies (e.g. ploughs, manure spreaders, seeders, harvesters, threshers, milking machines, poultry-keeping machines, tractors used in agriculture).",
4654,4,465,"Wholesale of Industrial, Construction and Related Machinery and Equipment",,
46541,5,4654,Wholesale of industrial machinery and equipment (e.g. industrial crane),"This Sub-class includes wholesale of industrial machinery, equipment or parts (e.g. industrial cranes, diesel engines, industrial pumps).",
46542,5,4654,Wholesale of construction equipment (e.g. concrete mixer),"This Sub-class includes wholesale of construction equipment or parts (e.g. concrete mixers, excavators).",
46543,5,4654,"Wholesale of lifts, escalators and industrial and office air-conditioning equipment","This Sub-class includes:
•wholesale of lifts, escalators
•wholesale of industrial or office air-conditioning equipment",
46544,5,4654,Wholesale of electrical and wiring accessories,This Sub-class includes wholesale of electrical or wiring accessories (e.g. circuit breakers).,
46549,5,4654,"Wholesale of industrial, construction and related machinery and equipment n.e.c.","This Sub-class includes wholesale of industrial, construction or related machinery and equipment not elsewhere classified.","•die-casting mould wholesaling
•plastic mould wholesaling"
4655,4,465,Wholesale of Transport Equipment except Motor Vehicles and Motorcycles,,
46551,5,4655,Wholesale of marine equipment and accessories (including marine navigational equipment and radar),This Sub-class includes wholesale of marine equipment or accessories (e.g. marine navigational equipment and marine radars).,
46552,5,4655,Wholesale of aircraft equipment and supplies (including aeronautical equipment),This Sub-class includes wholesale of aircraft equipment and supplies (e.g. aeronautical equipment).,
46559,5,4655,Wholesale of transport equipment except motor vehicles and motorcycles n.e.c.,This Sub-class includes wholesale of transport equipment not elsewhere classified (e.g. railway equipment).,
4656,4,465,"Wholesale of Motor Vehicles, Parts and Accessories",,
46561,5,4656,Wholesale of motor vehicles except motorcycles and scooters,"This Sub-class includes:
•wholesale of new or used passenger motor vehicles such as cars or buses
•wholesale of new/used freight motor vehicles such as lorries, trucks or trailers",
46562,5,4656,Wholesale of motorcycles and scooters,"This Sub-class includes:
•wholesale of motorcycles or scooters
•wholesale of personal mobility devices or e-bicycles",
46563,5,4656,Wholesale of parts and accessories for vehicles,"This Sub-class includes wholesale of all kinds of motor vehicle parts, components, supplies, tools or accessories.

Units in this Sub-class are primarily engaged in one or more of the following:
•wholesale of rubber tyres and inner tubes for tyres
•wholesale of spark plugs, batteries, lighting equipment and electrical parts for motor vehicles",
4659,4,465,Wholesale of Other Machinery and Equipment,,
46591,5,4659,Wholesale of office machines and equipment (including accessories),"This Sub-class includes wholesale of office machines, equipment or accessories (e.g. printers, paper shredders).",
46592,5,4659,"Wholesale of medical, professional, scientific and precision equipment","This Sub-class includes wholesale of medical, professional, scientific and precision equipment or supplies.",
46593,5,4659,Wholesale of commercial food service equipment (e.g. hotel kitchen equipment),"This Sub-class includes wholesale of commercial food service equipment or supplies (e.g. hotel kitchen equipment, freezers or commercial or industrial refrigerators).",
46594,5,4659,Wholesale of service establishment equipment and supplies (e.g. beauty salon equipment),This Sub-class includes wholesale of service establishment equipment or supplies (e.g. beauty salon equipment).,
46595,5,4659,Wholesale of security and safety equipment,This Sub-class includes wholesale of security or safety equipment.,
46599,5,4659,Wholesale of other machinery and equipment n.e.c.,This Sub-class includes wholesale of other machinery or equipment not elsewhere classified.,•water filter for purification wholesaling
466,3,46,OTHER SPECIALISED WHOLESALE,,
4661,4,466,Wholesale of Fuels and Related Products,,
46610,5,4661,Wholesale of fuels and related products,"This Sub-class includes: 
•wholesale of fuels, greases, lubricants, oils such as:
- charcoal, coal, coke, fuel wood or naphtha
- crude petroleum, crude oil, diesel fuel, gasoline, fuel oil, heating oil or kerosene
- liquefied petroleum gases, butane or propane gas
- lubricating oils and greases or refined petroleum products",
4662,4,466,Wholesale of Metals and Metal Ores,,
46620,5,4662,Wholesale of metals and metal ores (e.g. steel pipes) except general hardware,"This Sub-class includes wholesale of metals and metal ores except general hardware.

Units in this Sub-class are primarily engaged in one or more of the following:
•wholesale of ferrous and non-ferrous metals in primary forms
•wholesale of ferrous and non-ferrous metal ores or concentrates (e.g. steel, iron, aluminium, copper, lead, zinc)
•wholesale of ferrous or non-ferrous semi-finished metal products
•wholesale of gold or other precious metals (e.g. silver, platinum)
•wholesale of steel pipes or metal bars",
4663,4,466,"Wholesale of Construction Materials, Hardware, Plumbing and Heating Equipment and Supplies",,
46631,5,4663,"Wholesale of logs, sawn timber, plywood and related products","This Sub-class includes wholesale of logs, sawn timber, plywood and related products.",
46632,5,4663,"Wholesale of general hardware (e.g. locks, hinges)","This Sub-class includes wholesale of general hardware and hand tools (e.g. locks, hinges, chains, latches, handles, bolts, nuts, screws, hammers, spanners, saws, saw blades, screwdrivers, drills).",
46633,5,4663,"Wholesale of structural clay and concrete products (e.g. mosaic tiles, bricks)","This Sub-class includes wholesale of structural clay and concrete products (e.g. mosaic tiles, bricks, roofing tiles).",
46634,5,4663,Wholesale of paints (including varnishes and supplies),"This Sub-class includes wholesale of paints, varnishes and related supplies.",
46635,5,4663,Wholesale of glass,"This Sub-class includes wholesale of glass and glass products (e.g. laboratory glassware, window glass).",
46639,5,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies n.e.c. (e.g. cement, sand)","This Sub-class includes wholesale of construction materials, hardware, plumbing and heating equipment and supplies not elsewhere classified.","•sanitary and plumbing equipment and supplies (e.g. bathtubs, washbasins, toilets, porcelain sanitary ware, plumbing tubes, pipe fittings, taps, T-pieces, rubber pipes)wholesaling
•heating equipment (e.g. water heaters) wholesaling
•pipe fitting and fixture wholesaling"
4664,4,466,Wholesale of Chemicals and Chemical Products,,
46641,5,4664,Wholesale of basic industrial chemicals (except fertilisers),"This Sub-class includes:
•wholesale of basic chemicals for industrial use:
- liquefied or compressed inorganic industrial gases: elemental gases, liquid or compressed air, refrigerant gases, mixed industrial gases, inert gases such as carbon dioxide and isolating gases
- inorganic acids except nitric acid
- alkalis, lyes and other inorganic bases
- basic organic chemicals: acyclic hydrocarbons, saturated and unsaturated, cyclic hydrocarbons, saturated and unsaturated, acyclic and cyclic alcohols, mono- and polycarboxylic acids, including acetic acid, other oxygen-function compounds, including aldehydes, ketones, quinones and dual or poly oxygen function compounds, synthetic glycerol, nitrogen-function organic compounds, including amines, fermentation of sugarcane, corn or similar to produce alcohol and esters, other organic compounds, including wood distillation products (e.g. charcoal), etc.
- chemical elements
- distilled water",
46642,5,4664,Wholesale of chemical fertilisers,"This Sub-class includes:
•wholesale of fertilisers: straight or complex nitrogenous, phosphatic or potassic fertilisers, urea, crude natural phosphates and crude natural potassium salts
•wholesale of associated nitrogen products: nitric and sulphonitric acids, ammonium chloride, ammonium carbonate, nitrites and nitrates of potassium",
46643,5,4664,Wholesale of petrochemical products,"This Sub-class includes:
•wholesale of petrochemical primary products such as olefins, aromatics or basic building blocks or derivatives or intermediates produced from basic building blocks 
•wholesale of synthetic resins, plastic materials or non-vulcanisable elastomers in the form of moulding and extrusion compound, solid or liquid resins, sheets, rods, tubes, granules or powders

Units in this Sub-class are primarily engaged in one or more of the following:
•wholesale of:
- plastics in primary forms: polymers, including those of ethylene, propylene, styrene, vinyl chloride, vinyl acetate or acrylics, polyamides, phenolic or epoxide resins or polyurethanes, alkyd or polyester resins or polyethers, silicones, ion-exchangers based on polymers
- cellulose or its chemical derivatives
- synthetic rubber in primary forms; synthetic rubber, factice",
46649,5,4664,Wholesale of chemicals and chemical products n.e.c.,"This Sub-class includes wholesale of chemicals and chemical products not elsewhere classified (e.g. fragrances, food colourings, flavourings, preservatives, food additives, printing ink, chemical glues, starch derivatives, industrial salt, essential oils, fatty amines, oleochemicals).","•industrial ice wholesaling
•petroleum additive wholesaling"
4665,4,466,"Wholesale of Other Intermediate Products, Waste and Scrap",,
46651,5,4665,"Wholesale of scrap, junk and waste dealers","This Sub-class includes wholesale of metal or non-metal scrap, junk, waste for their remaining value. There is no transformation process required.",
46659,5,4665,"Wholesale of other intermediate products, waste and scrap n.e.c.","This Sub-class includes wholesale of other metal or non-metal intermediate products, waste and scrap not elsewhere classified.",
4666,4,466,Ship Chandlers and Ship Bunkering,,
46661,5,4666,Ship chandlers,This Sub-class includes activities of ship chandlers (i.e. dealer who specialises in supplies or equipment for ships).,
46662,5,4666,Ship bunkering,This Sub-class includes activities of ship bunkering (i.e. supply of fuels for use by ships and storage of fuels in bunker tanks).,
469,3,46,NON-SPECIALISED WHOLESALE TRADE,,
4690,4,469,Non-specialised Wholesale Trade,,
46900,5,4690,Wholesale trade of a variety of goods without a dominant product,This Sub-class includes wholesale of a variety of goods without a dominant product.,
47,2,G,RETAIL TRADE,,
471,3,47,RETAIL SALE IN NON-SPECIALISED STORES,,
4710,4,471,Retail Sale in Non-Specialised Stores,,
47101,5,4710,Supermarkets and Hypermarkets,"This Sub-class includes: 
•retail sale of a wide variety of food, such as canned and frozen foods, fresh fruits and vegetables, fresh and prepared meats, fish, and poultry
•retail sale of new merchandise, such as clothes, furniture, and household appliances",
47102,5,4710,"Mini-marts, convenience stores and provision shops",This Sub-class includes retail sale of a limited assortment of food and groceries which are mostly non-perishables.,
47103,5,4710,Department stores,"This Sub-class includes:
•retail sale of a wide variety of new merchandise such as clothes, jewellery, home furnishings (e.g. curtains, carpets), toys, and household appliances (e.g. television, audio player, computers) with no single product line predominating. A limited assortment of food which are mostly non-perishables may be sold.",
47109,5,4710,Retail sale in other non-specialised stores n.e.c.,This Sub-class includes retail sale in other non-specialised stores not elsewhere classified.,"•dollar store, non-specialised
•value store, non-specialised
•budget shop, non-specialised"
472,3,47,"RETAIL SALE OF FOOD, BEVERAGES AND TOBACCO IN SPECIALISED STORES",,
4721,4,472,Retail Sale of Food in Specialised Stores,,
47211,5,4721,Retail sale of fruits and vegetables,This Sub-class includes retail sale of fresh or preserved fruits or vegetables.,
47212,5,4721,"Retail sale of meat, poultry, eggs and seafood","This Sub-class includes retail sale of meat, meat products, poultry, eggs, dairy products or seafood.",
47213,5,4721,Retail sale of confectionery and bakery products (not manufactured on site),This Sub-class includes retail sale of confectionery or bakery products that are not manufactured on site.,
47214,5,4721,Retail sale of health supplements,This Sub-class includes retail sale of health supplements.,
47219,5,4721,Retail sale of food n.e.c.,This Sub-class includes retail sale of food not elsewhere classified.,"•bird's nest retailing
•canned food retailing
•dried grocery products retailing"
4722,4,472,Retail Sale of Beverages in Specialised Stores,,
47220,5,4722,Retail sale of beverages,This Sub-class includes retail sale of alcoholic or non-alcoholic beverages that are not for consumption on the premises.,
4723,4,472,Retail Sale of Tobacco Products in Specialised Stores,,
47230,5,4723,Retail sale of tobacco products,This Sub-class includes retail sale of tobacco or tobacco products.,
473,3,47,"RETAIL SALE OF MOTOR VEHICLES, PARTS, ACCESSORIES AND AUTOMOTIVE FUEL IN SPECIALISED STORES",,
